Date,Price
06-06-2025,1832.50
09-06-2025,1803.50
10-06-2025,1818.50
11-06-2025,1797.70
12-06-2025,1793.25
13-06-2025,1810.00
16-06-2025,1803.00
17-06-2025,1788.50
18-06-2025,1787.55
19-06-2025,1762.20
20-06-2025,1774.00
23-06-2025,1775.20
24-06-2025,1785.00
25-06-2025,1779.95
26-06-2025,1765.00
27-06-2025,1776.00
30-06-2025,1781.50
